日期,品类,产品名称,产品ID,价格
2026-02-19,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2180.0
2026-02-20,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2180.0
2026-02-21,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2180.0
2026-02-22,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2180.0
2026-02-23,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2180.0
2026-02-24,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-02-25,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-02-26,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-02-27,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-02-28,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-01,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-02,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-03,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-04,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-05,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-06,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-07,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-08,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-09,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-10,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-11,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-12,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-13,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-14,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-15,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-16,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-17,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2280.0
2026-03-18,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2250.0
2026-03-19,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2250.0
2026-03-20,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2250.0
2026-03-21,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2230.0
2026-03-22,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2230.0
2026-03-23,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2230.0
2026-03-24,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2230.0
2026-03-25,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2230.0
2026-03-26,gpu,华硕 DUAL RTX5050 O8G雪豹,4f8800fa-6154-4776-9586-3d276dadc25d,2230.0
2026-02-19,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,3450.0
2026-02-20,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,3450.0
2026-02-21,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,3450.0
2026-02-22,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,3450.0
2026-02-23,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,3450.0
2026-02-24,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,3450.0
2026-02-25,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-02-26,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-02-27,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-02-28,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-01,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-02,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-03,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-04,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-05,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-06,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-07,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-08,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-09,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-10,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-11,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-12,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-13,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
2026-03-14,gpu,技嘉 RTX5060 WF2MAX OC8G风魔MAX,f499dd0d-3a6b-4a68-9622-7a26b4dae40a,2680.0
