变动时间,品类,产品名称,旧价格,新价格,变动金额,变动百分比
2026-03-26T15:04:16,gpu,蓝宝石 RX7650GRE 白金,1800.0,1950.0,150.0,8.33%
2026-03-26T15:03:39,gpu,讯景 7650GRE 黑狼,1870.0,1950.0,80.0,4.28%
2026-03-26T15:03:19,gpu,七彩虹 5080 白火神OC 16G,11000.0,11100.0,100.0,0.91%
2026-03-26T15:03:15,gpu,七彩虹 5080 黑火神OC 16G,10650.0,10750.0,100.0,0.94%
2026-03-26T15:03:06,gpu,七彩虹 5080 ULTRA OC 16G ,9050.0,9100.0,50.0,0.55%
2026-03-26T15:02:56,gpu,七彩虹 5070TI  ULTRA W OC 16G,7100.0,7200.0,100.0,1.41%
2026-03-26T15:02:32,gpu,七彩虹 5060TI ADOC 16G,4100.0,4080.0,-20.0,-0.49%
2026-03-26T15:02:00,gpu,七彩虹 5060TIADOC 8G,3300.0,3280.0,-20.0,-0.61%
2026-03-26T15:01:52,gpu,七彩虹 5060TIULTRA OC W DUO 8G,3130.0,3080.0,-50.0,-1.60%
2026-03-26T15:01:43,gpu,七彩虹 5060TIULTRA OC W 8G,3280.0,3180.0,-100.0,-3.05%
2026-03-26T15:00:40,gpu,七彩虹 战斧5060 8G DUO,2630.0,2600.0,-30.0,-1.14%
2026-03-24T06:18:42,gpu,华硕 ROG RTX5080 O16G GAMING 夜神白,13200.0,13000.0,-200.0,-1.52%
2026-03-24T06:18:39,gpu,华硕 ROG RTX5080 O16G GAMING 夜神 ,13400.0,13000.0,-400.0,-2.99%
2026-03-24T06:18:29,gpu,华硕 TUF RTX5090D O24G GAMING,19600.0,19500.0,-100.0,-0.51%
2026-03-24T06:18:19,gpu,华硕 ROG RTX5090D O24G GAMING夜神,23500.0,25500.0,2000.0,8.51%
2026-03-24T06:18:04,gpu,华硕 PRIME RX9070XT O16G,5250.0,5100.0,-150.0,-2.86%
2026-03-24T06:17:56,gpu,华硕 PRIME 9060XT O8G,2380.0,2480.0,100.0,4.20%
2026-03-24T06:17:25,gpu,华硕 ATS RX7650GRE O8G巨齿鲨,1900.0,1820.0,-80.0,-4.21%
2026-03-24T06:16:31,gpu,华硕 DUAL RTX5060 O8G雪豹,2620.0,2600.0,-20.0,-0.76%
2026-03-24T06:14:48,gpu,七彩虹 5090D ADOC 24G V2,17500.0,17400.0,-100.0,-0.57%
2026-03-24T06:14:48,gpu,七彩虹 5080水神 NEPTUNE OC 16G,9750.0,9650.0,-100.0,-1.03%
2026-03-24T06:14:48,gpu,七彩虹 5080 白火神OC 16G,10950.0,11000.0,50.0,0.46%
2026-03-24T06:14:48,gpu,七彩虹 5080 ULTRA OC 16G ,9000.0,9050.0,50.0,0.56%
2026-03-24T06:14:48,gpu,七彩虹 5070TI 火神 X OC 16G,7900.0,8000.0,100.0,1.27%
2026-03-24T06:11:16,gpu,七彩虹 5060TIULTRA OC W 8G,3250.0,3280.0,30.0,0.92%
2026-03-24T06:11:09,gpu,七彩虹 5060TIULTRA OC W DUO 8G,3170.0,3130.0,-40.0,-1.26%
2026-03-24T06:10:58,gpu,七彩虹 战斧5060TI 豪华 8G,2999.0,3000.0,1.0,0.03%
2026-03-24T06:10:38,gpu,七彩虹 5060 ADOC,2820.0,2850.0,30.0,1.06%
2026-03-24T06:10:32,gpu,七彩虹 5060 ULTRA OC W 8G,2830.0,2850.0,20.0,0.71%
2026-03-24T06:10:26,gpu,七彩虹 5060 ULTRA OC W DUO,2700.0,2680.0,-20.0,-0.74%
2026-03-24T06:10:14,gpu,七彩虹 战斧5060 8G豪华,2700.0,2680.0,-20.0,-0.74%
2026-03-24T06:10:09,gpu,七彩虹 战斧5060 8G DUO,2650.0,2630.0,-20.0,-0.75%
2026-03-24T06:09:11,gpu,七彩虹 5050ULTRA OC W DUO,2200.0,2220.0,20.0,0.91%
2026-03-24T06:08:54,gpu,七彩虹 战斧5050 8G豪华,2200.0,2180.0,-20.0,-0.91%
2026-03-24T06:08:39,gpu,七彩虹 3050duo 8g战斧,1640.0,1630.0,-10.0,-0.61%
2026-03-24T06:08:35,gpu,七彩虹 3050灵动鲨,1400.0,1380.0,-20.0,-1.43%
2026-03-21T05:33:02,gpu,华硕 DUAL RTX5050 O8G雪豹,2250.0,2230.0,-20.0,-0.89%
2026-03-19T06:39:47,gpu,七彩虹 战斧5060TI 豪华 16G,3920.0,3900.0,-20.0,-0.51%
2026-03-19T06:39:36,gpu,七彩虹 5060TIADOC 8G,3370.0,3300.0,-70.0,-2.08%
2026-03-19T06:39:28,gpu,七彩虹 5060TIULTRA OC W 8G,3300.0,3250.0,-50.0,-1.52%
2026-03-19T06:39:18,gpu,七彩虹 5060TIULTRA OC W DUO 8G,3200.0,3170.0,-30.0,-0.94%
2026-03-19T06:38:44,gpu,七彩虹 5060 ULTRA OC W 8G,2828.0,2830.0,2.0,0.07%
2026-03-19T06:38:31,gpu,七彩虹 战斧5050 8G豪华,2170.0,2200.0,30.0,1.38%
2026-03-19T06:38:22,gpu,七彩虹 战斧5050 8G DUO,2130.0,2150.0,20.0,0.94%
2026-03-19T06:38:19,gpu,七彩虹 3050灵动鲨,1380.0,1400.0,20.0,1.45%
2026-03-19T03:15:21,gpu,七彩虹 战斧5050 8G DUO,2150.0,2130.0,-20.0,-0.93%
2026-03-18T08:46:13,gpu,华硕 ROG RTX5090D O24G GAMING夜神,23000.0,23500.0,500.0,2.17%
2026-03-18T08:46:02,gpu,华硕 TUF RTX5090D O24G GAMING,19800.0,19600.0,-200.0,-1.01%
2026-03-18T08:45:45,gpu,华硕 ROG RTX5080 O16G GAMING 夜神 ,13900.0,13400.0,-500.0,-3.60%
2026-03-18T08:45:30,gpu,华硕 PRIME RTX5080 O16G 参考价,9600.0,9400.0,-200.0,-2.08%
2026-03-26T14:31:56,cpu,AMD R5-5600散片,720.0,740.0,20.0,2.78%
2026-03-26T14:31:37,cpu,intel Ultra 7 265K盒,1740.0,1710.0,-30.0,-1.72%
2026-03-26T14:31:29,cpu,intel Ultra 7 265KF盒,1550.0,1545.0,-5.0,-0.32%
2026-03-26T14:31:18,cpu,intel i7-14700KF散片,2150.0,2120.0,-30.0,-1.40%
2026-03-26T14:30:54,cpu,intel i5-14400F散片,1035.0,1015.0,-20.0,-1.93%
2026-03-26T14:30:46,cpu,intel i3-14100F散片,640.0,630.0,-10.0,-1.56%
2026-03-26T14:30:41,cpu,intel i7-13700F散片,1910.0,1860.0,-50.0,-2.62%
2026-03-26T14:30:35,cpu,intel i5-13600K散片,1410.0,1360.0,-50.0,-3.55%
2026-03-26T14:30:29,cpu,intel i5-13600KF散片,1380.0,1320.0,-60.0,-4.35%
2026-03-26T14:30:23,cpu,intel i5-13400EF散片,920.0,900.0,-20.0,-2.17%
2026-03-26T14:30:18,cpu,intel i5-13400F散片,1010.0,1000.0,-10.0,-0.99%
2026-03-26T14:29:30,cpu,intel  i5-12600KF散片,1180.0,1175.0,-5.0,-0.42%
2026-03-26T14:29:24,cpu,intel i5-12400散片,1240.0,1200.0,-40.0,-3.23%
2026-03-26T14:29:16,cpu,intel i5-12400F散片,905.0,880.0,-25.0,-2.76%
2026-03-26T14:29:10,cpu,intel i3-12100散片,940.0,925.0,-15.0,-1.60%
2026-03-25T15:02:29,cpu,AMD 9950X散,2880.0,2870.0,-10.0,-0.35%
2026-03-25T15:02:05,cpu,AMD R5-5600散片,710.0,720.0,10.0,1.41%
2026-03-25T15:01:59,cpu,AMD R5-5600GT散片,850.0,870.0,20.0,2.35%
2026-03-25T15:01:29,cpu,intel i7-14700KF散片,2160.0,2150.0,-10.0,-0.46%
2026-03-25T15:01:20,cpu,intel i5-14600KF盒,1485.0,1480.0,-5.0,-0.34%
2026-03-25T15:01:14,cpu,intel i5-14400F散片,1055.0,1035.0,-20.0,-1.90%
2026-03-25T15:01:07,cpu,intel i3-14100F散片,645.0,640.0,-5.0,-0.78%
2026-03-25T15:00:58,cpu,intel i5-13400EF散片,930.0,920.0,-10.0,-1.08%
2026-03-25T15:00:49,cpu,intel i5-13400F散片,1025.0,1010.0,-15.0,-1.46%
2026-03-25T15:00:31,cpu,intel  i5-12600KF盒,1199.0,1190.0,-9.0,-0.75%
2026-03-25T15:00:16,cpu,intel i5-12400散片,1260.0,1240.0,-20.0,-1.59%
2026-03-25T15:00:10,cpu,intel i5-12400F散片,915.0,905.0,-10.0,-1.09%
2026-03-25T14:59:53,cpu,intel i3-12100散片,955.0,940.0,-15.0,-1.57%
2026-03-24T06:01:31,cpu,AMD 9800X3D散片,2800.0,2790.0,-10.0,-0.36%
2026-03-24T06:01:26,cpu,AMD R7-9700X散,1530.0,1520.0,-10.0,-0.65%
2026-03-24T06:01:23,cpu,AMD R5-9600X散片,1100.0,1090.0,-10.0,-0.91%
2026-03-24T06:01:13,cpu,AMD R5-5600散片,695.0,710.0,15.0,2.16%
2026-03-24T06:00:59,cpu,AMD R5-5600GT散片,835.0,850.0,15.0,1.80%
2026-03-24T06:00:31,cpu,intel i3-14100F散片,660.0,645.0,-15.0,-2.27%
2026-03-24T06:00:20,cpu,intel i5-13400EF散片,910.0,930.0,20.0,2.20%
2026-03-24T06:00:13,cpu,intel i5-13400F散片,1020.0,1025.0,5.0,0.49%
2026-03-24T05:59:42,cpu,intel i5-12400F散片,920.0,915.0,-5.0,-0.54%
2026-03-23T06:36:19,cpu,intel Ultra 5 245KF,1140.0,1190.0,50.0,4.39%
2026-03-23T06:36:01,cpu,intel Ultra 7 265KF盒,1550.0,1550.0,0.0,0.00%
2026-03-23T06:35:27,cpu,intel Ultra 7 265K盒,1760.0,1740.0,-20.0,-1.14%
2026-03-23T06:35:13,cpu,intel i9-14900KF散片,2820.0,2840.0,20.0,0.71%
2026-03-23T06:35:04,cpu,intel i7-14700KF散片,2150.0,2160.0,10.0,0.47%
2026-03-23T06:34:46,cpu,intel i5-14600KF盒,1470.0,1485.0,15.0,1.02%
2026-03-23T06:34:37,cpu,intel i5-14490F盒,1080.0,1090.0,10.0,0.93%
2026-03-23T06:34:31,cpu,intel i5-14400F散片,1030.0,1055.0,25.0,2.43%
2026-03-23T06:34:26,cpu,intel i3-14100F散片,650.0,660.0,10.0,1.54%
2026-03-23T06:33:17,cpu,intel i7-13700F散片,1860.0,1910.0,50.0,2.69%
2026-03-23T06:33:07,cpu,intel i5-13600KF散片,1370.0,1380.0,10.0,0.73%
2026-03-23T06:33:03,cpu,intel i5-13400EF散片,890.0,910.0,20.0,2.25%
2026-03-23T06:32:56,cpu,intel i5-13400F散片,980.0,1020.0,40.0,4.08%
2026-03-26T14:58:18,ram,劲芯 6000 16*2 C36铠甲,2640.0,2600.0,-40.0,-1.52%
2026-03-26T14:58:09,ram,劲芯 6000 16*2 C30铠甲,2860.0,2800.0,-60.0,-2.10%
2026-03-26T14:57:56,ram,劲芯 6000 16*2 C28铠甲,3100.0,3000.0,-100.0,-3.23%
2026-03-26T14:57:22,ram,劲芯 3600 32G黑甲,1550.0,1520.0,-30.0,-1.94%
2026-03-26T14:56:44,ram,劲芯 3200 16G黑甲,770.0,740.0,-30.0,-3.90%
2026-03-26T14:56:37,ram,劲芯  3200 8G黑甲,420.0,395.0,-25.0,-5.95%
2026-03-26T14:56:32,ram,劲芯 3200 16g普条,760.0,735.0,-25.0,-3.29%
2026-03-26T14:56:27,ram,劲芯 3200 8G普条,410.0,390.0,-20.0,-4.88%
2026-03-26T14:55:54,ram,佰维 DW100灯条 6000 48*2 C28,6550.0,6600.0,50.0,0.76%
2026-03-26T14:55:11,ram,佰维 HX100 6400  16*2 C32,2840.0,2740.0,-100.0,-3.52%
2026-03-26T14:55:02,ram,佰维 HX100 6400 16*2 C36,2820.0,2720.0,-100.0,-3.55%
2026-03-26T14:53:30,ram,金百达 黑刃无灯32G（16G*2）6800 C34,2840.0,2800.0,-40.0,-1.41%
2026-03-26T14:53:27,ram,金百达 黑刃无灯16G 6800 C34,1450.0,1430.0,-20.0,-1.38%
