排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD EPYC 9754,2849,128,256,2.25GHz,2023.06,https://www.topcpu.net/cpu/amd-epyc-9754
2,AMD Ryzen Threadripper PRO 7995WX,2133,96,192,2.5GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-7995wx
3,AMD EPYC 9654P,2069,96,192,2.4GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9654p
4,AMD EPYC 9554P,1820,64,128,3.1GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9554p
5,AMD EPYC 9554,1777,64,128,3.1GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9554
6,AMD EPYC 9474F,1496,48,96,3.6GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9474f
7,AMD Ryzen Threadripper PRO 5995WX,1420,64,128,2.7GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5995wx
8,AMD EPYC 9454P,1281,48,96,2.75GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9454p
9,AMD EPYC 9654,1182,96,192,2.4GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9654
10,Intel Xeon w9-3495X,1159,56,112,1.9GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w9-3495x
11,AMD Ryzen Threadripper Pro 3995WX,1025,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3995wx
12,AMD EPYC 9354P,942,32,64,3.25GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9354p
13,AMD EPYC 9354,926,32,64,3.25GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9354
14,AMD Ryzen Threadripper PRO 5975WX,914,32,64,3.6GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5975wx
15,AMD EPYC 9374F,890,32,64,3.85GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9374f
16,AMD Ryzen 9 9950X3D,808,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
17,AMD EPYC 9274F,803,24,48,4.05GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9274f
18,AMD EPYC 75F3,799,32,64,2.95GHz,2021.03,https://www.topcpu.net/cpu/amd-epyc-75f3
19,AMD EPYC 7543,722,32,64,2.8GHz,2021.03,https://www.topcpu.net/cpu/amd-epyc-7543
20,AMD EPYC 7543P,698,32,64,2.8GHz,2021.03,https://www.topcpu.net/cpu/amd-epyc-7543p
21,Intel Xeon Gold 6442Y,672,24,48,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6442y
