排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD Ryzen Threadripper PRO 9995WX,7716,96,192,2.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9995wx
2,AMD Ryzen Threadripper 7980X,5531,64,128,3.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7980x
3,AMD Ryzen Threadripper PRO 5995WX,4321,64,128,2.7GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5995wx
4,AMD Ryzen Threadripper 3990X,4191,64,128,2.9GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3990x
5,Intel Xeon w9-3495X,4083,56,112,1.9GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w9-3495x
6,AMD EPYC 7773X,3902,64,128,2.2GHz,2022.03,https://www.topcpu.net/cpu/amd-epyc-7773x
7,AMD Ryzen Threadripper 7970X,3685,32,64,4GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7970x
8,Apple M3 Ultra,2754,32,32,4.05GHz,2025.03,https://www.topcpu.net/cpu/apple-m3-ultra
9,AMD Ryzen 9 9950X3D2,2598,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
10,AMD Ryzen Threadripper 3970X,2564,32,64,3.7GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3970x
11,AMD Ryzen Threadripper Pro 3975WX,2504,32,64,3.5GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3975wx
12,Intel Core Ultra 7 270K Plus,2480,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
13,AMD Ryzen 9 9950X3D,2457,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
14,Intel Core i9 14900KS,2443,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
15,Intel Core Ultra 9 285K,2357,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
16,AMD Ryzen 9 9950X,2287,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
17,AMD Ryzen Threadripper PRO 5965WX,2284,24,48,3.8GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5965wx
18,Intel Core Ultra 9 285HX,2241,24,24,2.8GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285hx
19,Intel Core Ultra 9 290HX Plus,2218,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
20,Intel Core i9 14900KF,2177,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
21,AMD Ryzen 9 9955HX3D,2158,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx3d
22,Intel Core i9 13900KS,2157,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
23,Intel Core i9 13900KF,2144,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
24,Intel Core i9 13900K,2139,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
25,Intel Core i9 14900K,2130,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
26,AMD Ryzen 9 7950X,2097,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
27,AMD Ryzen 9 9955HX,2089,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx
28,Apple M5 Max (40-core GPU),2071,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
29,Apple M5 Max (32-core GPU),2065,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
30,Apple M4 Max 16 Core,2045,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
31,Intel Core Ultra 7 265K,2025,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265k
32,Intel Core i7 14700KF,2021,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
33,AMD Ryzen 9 7950X3D,2003,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
34,Intel Core i7 14700K,1987,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
35,Intel Core Ultra 9 285,1979,24,24,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-9-285
36,Qualcomm Snapdragon X2 Elite Extreme (X2E 96 100),1968,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-96-100
37,AMD Ryzen Threadripper 3960X,1922,24,48,3.8GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3960x
