排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,Apple M5 Pro (18-Core),209,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-18-core
2,Apple M5 Pro (15-Core),208,15,15,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-15-core
3,Apple M5 (8-core GPU),206,10,10,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-8-core-gpu
4,Apple M5 Max (32-core GPU),200,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
5,Apple M5 Max (40-core GPU),200,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
6,Apple M4 Max 16 Core,187,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
7,Apple M4 Max 14 Core,185,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
8,Apple M5 (10-Core),184,10,10,4.6GHz,2025.10,https://www.topcpu.net/cpu/apple-m5-10-core
9,Apple M4 Pro 14 Core,174,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
10,Apple M4 10 Core,174,10,10,4.41GHz,2024.05,https://www.topcpu.net/cpu/apple-m4-10-core
11,Apple M4 8 Core,173,8,8,4.41GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-8-core
12,Apple M4 Pro 12 Core,170,12,12,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-12-core
13,Qualcomm Snapdragon X2 Elite Extreme (X2E 96 100),160,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-96-100
14,Qualcomm Snapdragon X2 Elite (X2E 90 100),149,18,18,3.4GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-90-100
15,Qualcomm Snapdragon X2 Elite Extreme (X2E-94-100),148,18,18,3.6GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-94-100
16,Qualcomm Snapdragon X2 Elite X2E-88-100,145,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-88-100
17,Intel Core Ultra 7 270K Plus,145,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
18,Intel Core i9 14900KS,144,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
19,AMD Ryzen 7 9850X3D,144,8,16,4.7GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-9850x3d
20,Apple M3 Pro,143,12,12,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-pro
21,Apple M3 Max,142,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
22,Intel Core Ultra 9 285K,142,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
23,Qualcomm Snapdragon X2 Elite (X2E 84 100),142,12,12,3.4GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-84-100
24,Intel Core Ultra 5 250K Plus,141,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250k-plus
25,Apple M3,140,8,8,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3
26,Intel Core Ultra 5 250KF Plus,140,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250kf-plus
27,AMD Ryzen 9 9950X3D2,140,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
28,Intel Core i9 14900KF,139,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
29,Qualcomm Snapdragon X Elite (X1E-00-1DE),139,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-00-1de
30,AMD Ryzen 9 9950X3D,138,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
31,AMD Ryzen 7 9700F,138,8,16,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-7-9700f
32,AMD Ryzen 9 9950X,137,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
33,Intel Core Ultra 7 265K,137,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265k
34,Intel Core i9 14900K,136,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
