排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,Apple M5 Max (40-core GPU),2584,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
2,Apple M5 Max (32-core GPU),2582,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
3,Apple M5 Pro (15-Core),2569,15,15,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-15-core
4,Apple M5 Pro (18-Core),2569,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-18-core
5,Apple M5 (8-core GPU),2552,10,10,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-8-core-gpu
6,Intel Core Ultra 7 270K Plus,2450,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
7,Apple M5 (10-Core),2399,10,10,4.6GHz,2025.10,https://www.topcpu.net/cpu/apple-m5-10-core
8,Intel Core i9 14900KS,2398,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
9,Intel Core i9 14900K,2358,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
10,Intel Core i9 14900KF,2358,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
11,Intel Core Ultra 5 250KF Plus,2335,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250kf-plus
12,Intel Core Ultra 5 250K Plus,2319,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250k-plus
13,Intel Core Ultra 9 285K,2318,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
14,Intel Core i9 13900KS,2317,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
15,Intel Core Ultra 7 265KF,2308,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265kf
16,Intel Core Ultra 7 265K,2303,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265k
17,Apple M4 Max 16 Core,2281,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
18,Apple M4 Pro 14 Core,2267,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
19,Intel Core i9 13900K,2261,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
20,Intel Core i9 13900KF,2261,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
21,AMD Ryzen 9 9900X3D,2258,12,24,4.4GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9900x3d
22,Intel Core Ultra 9 285HX,2245,24,24,2.8GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285hx
23,AMD Ryzen 9 9950X,2243,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
24,AMD Ryzen 9 9950X3D,2240,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
25,Intel Core i9 14900F,2238,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900f
26,Intel Core Ultra 9 290HX Plus,2237,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
27,Intel Core i9 14900,2236,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900
28,AMD Ryzen 9 9900X,2232,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
29,AMD Ryzen 7 9850X3D,2222,8,16,4.7GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-9850x3d
30,AMD Ryzen 7 9700F,2211,8,16,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-7-9700f
31,Apple M4 Ultra,2200,32,32,4.52GHz,2025.05,https://www.topcpu.net/cpu/apple-m4-ultra
32,AMD Ryzen Threadripper PRO 9995WX,2197,96,192,2.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9995wx
33,Intel Core i9 13900,2190,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
34,Intel Core i9 13900F,2190,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900f
35,Apple M4 Max 14 Core,2190,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
36,Intel Core Ultra 9 285,2178,24,24,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-9-285
37,Intel Core i9 14900HX,2176,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
38,Intel Core i7 14700K,2174,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
39,Intel Core i7 14700KF,2174,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
40,AMD Ryzen 9 9955HX3D,2172,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx3d
