排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD EPYC Embedded 9654P,77251,96,192,2.4GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9654p
2,AMD EPYC 9654P,77251,96,192,2.4GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9654p
3,AMD EPYC 9554P,71411,64,128,3.1GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9554p
4,Intel Xeon Platinum 8470,61851,52,104,2GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-platinum-8470
5,AMD EPYC Embedded 9454,53277,48,96,2.75GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9454
6,AMD EPYC 9454,53277,48,96,2.75GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9454
7,Intel Xeon Gold 6348H,48838,24,48,2.3GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-gold-6348h
8,AMD EPYC 7773X,46533,64,128,2.2GHz,2022.03,https://www.topcpu.net/cpu/amd-epyc-7773x
9,Intel Xeon Platinum 8454H,46337,32,64,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-platinum-8454h
10,Intel Xeon Platinum 9242,42796,48,96,2.3GHz,2019.04,https://www.topcpu.net/cpu/intel-xeon-platinum-9242
11,Intel Xeon Platinum 8368Q,42239,38,76,2.6GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-platinum-8368q
12,Intel Xeon Platinum 8368,39949,38,76,2.4GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-platinum-8368
13,Intel Xeon Platinum 8380,39775,40,80,2.3GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-platinum-8380
14,Intel Xeon Max 9480,35554,56,112,1.9GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-max-9480
15,Intel Xeon Platinum 8558P,33368,48,96,2.7GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-platinum-8558p
16,Intel Xeon Platinum 8558P,33368,48,96,2.7GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-platinum-8558p
17,Intel Xeon Platinum 8352V,33148,36,72,2.5GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-platinum-8352v
18,AMD Ryzen Threadripper Pro 3995WX,32289,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3995wx
19,Intel Xeon Platinum 8280M,31330,28,56,2.7GHz,2018.12,https://www.topcpu.net/cpu/xeon-platinum-8280m
20,Intel Xeon Platinum 8444H,30151,16,32,2.9GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-platinum-8444h
21,Intel Xeon Platinum 8360Y,30021,36,72,2.4GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-platinum-8360y
