排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD Ryzen Threadripper 3990X,79790,64,128,2.9GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3990x
2,Apple M3 Ultra,72747,32,32,4.05GHz,2025.03,https://www.topcpu.net/cpu/apple-m3-ultra
3,AMD Ryzen 9 9950X3D,70193,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
4,Intel Core Ultra 7 270K Plus,68239,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
5,Intel Core Ultra 9 285K,67744,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
6,AMD Ryzen 9 9950X,66476,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
7,Intel Core Ultra 9 290HX Plus,66051,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
8,AMD Ryzen 9 7950X,62987,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
9,AMD Ryzen Threadripper 3970X,62846,32,64,3.7GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3970x
10,AMD Ryzen Threadripper Pro 3975WX,62727,32,64,3.5GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3975wx
11,AMD Ryzen 9 9955HX3D,62455,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx3d
12,AMD Ryzen 9 7950X3D,62363,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
13,Intel Core i9 13900KS,61817,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
14,Intel Core i9 14900K,61120,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
15,Intel Core Ultra 9 275HX,61069,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
16,Intel Core i9 14900KS,60246,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
17,Intel Core i9 14900KF,60232,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
18,Intel Core i9 13900K,59387,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
19,Intel Core i9 13900KF,58710,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
20,Apple M5 Max (32-core GPU),58565,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
21,Apple M5 Max (40-core GPU),58548,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
22,Intel Core Ultra 9 285HX,57837,24,24,2.8GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285hx
23,AMD Ryzen 9 7945HX3D,57810,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
24,AMD Ryzen 9 9900X3D,56222,12,24,4.4GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9900x3d
25,AMD Ryzen 9 8945HX,55980,16,32,2.5GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8945hx
26,AMD Ryzen 9 9955HX,55792,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx
27,AMD Ryzen 9 7945HX,55213,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
28,AMD Ryzen Threadripper 3960X,54837,24,48,3.8GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3960x
29,AMD Ryzen 9 9900X,53832,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
30,Intel Core i7 14700K,53739,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
31,Intel Core i7 14700KF,53538,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
32,Intel Core i9 14900F,53444,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900f
33,AMD Ryzen AI Max+ 395,53071,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-395
