排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,Apple M5 Max (32-core GPU),6029,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
2,Apple M5 Max (40-core GPU),6027,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
3,Intel Core Ultra 9 285K,5080,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
4,Apple M3 Ultra,5047,32,32,4.05GHz,2025.03,https://www.topcpu.net/cpu/apple-m3-ultra
5,Intel Core Ultra 7 270K Plus,5024,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
6,Intel Core Ultra 9 290HX Plus,5006,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
7,Intel Core Ultra 5 250K Plus,4904,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250k-plus
8,Apple M3,4850,8,8,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3
9,Intel Core i9 14900KS,4819,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
10,Apple M3 Max,4790,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
11,Intel Core i9 14900K,4770,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
12,Intel Core Ultra 7 265,4770,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265
13,Intel Core i9 13900KS,4759,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
14,AMD Ryzen 9 9950X,4743,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
15,AMD Ryzen 9 9950X3D,4742,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
16,Intel Core Ultra 9 275HX,4732,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
17,Intel Core i9 14900KF,4722,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
18,Intel Core Ultra 5 245KF,4715,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245kf
19,Intel Core Ultra 7 265F,4707,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265f
20,Intel Core Ultra 5 245K,4679,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
21,Intel Core i9 14900,4660,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900
22,AMD Ryzen 9 9900X,4648,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
23,AMD Ryzen 9 9900X3D,4647,12,24,4.4GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9900x3d
