排名,名称,跑分,显存容量,显存类型,上市时间,详情页
1,NVIDIA GeForce RTX 4090,186,24GB,GDDR6X,2022.09,https://www.topcpu.net/cpu/geforce-rtx-4090
2,NVIDIA GeForce RTX 4080 SUPER,158,16GB,GDDR6X,2024.01,https://www.topcpu.net/cpu/geforce-rtx-4080-super
3,NVIDIA GeForce RTX 4070 Ti SUPER,132,16GB,GDDR6X,2024.01,https://www.topcpu.net/cpu/geforce-rtx-4070-ti-super
4,NVIDIA GeForce RTX 3090 Ti,128,24GB,GDDR6X,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3090-ti
5,NVIDIA GeForce RTX 4070 Ti,125,12GB,GDDR6X,2023.01,https://www.topcpu.net/cpu/geforce-rtx-4070-ti
6,NVIDIA GeForce RTX 4080,123,16GB,GDDR6X,2022.09,https://www.topcpu.net/cpu/geforce-rtx-4080
7,AMD Radeon RX 6950 XT,122,16GB,GDDR6,2022.05,https://www.topcpu.net/cpu/radeon-rx-6950-xt
8,NVIDIA GeForce RTX 3090,116,24GB,GDDR6X,2020.09,https://www.topcpu.net/cpu/geforce-rtx-3090
9,AMD Radeon RX 6900 XT,114,16GB,GDDR6,2020.10,https://www.topcpu.net/cpu/radeon-rx-6900-xt
10,NVIDIA GeForce RTX 3080 Ti,114,12GB,GDDR6X,2021.05,https://www.topcpu.net/cpu/geforce-rtx-3080-ti
11,NVIDIA GeForce RTX 4070 SUPER,112,12GB,GDDR6X,2024.01,https://www.topcpu.net/cpu/geforce-rtx-4070-super
12,NVIDIA GeForce RTX 3080 12 GB,109,12GB,GDDR6X,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3080-12-gb
13,NVIDIA GeForce RTX 3080,107,10GB,GDDR6X,2020.09,https://www.topcpu.net/cpu/geforce-rtx-3080
14,AMD Radeon RX 6800 XT,104,16GB,GDDR6,2020.10,https://www.topcpu.net/cpu/radeon-rx-6800-xt
15,NVIDIA GeForce RTX 4070,98,12GB,GDDR6X,2023.04,https://www.topcpu.net/cpu/geforce-rtx-4070
16,AMD Radeon RX 6800,91,16GB,GDDR6,2020.10,https://www.topcpu.net/cpu/radeon-rx-6800
17,NVIDIA GeForce RTX 4060 Ti 16 GB,90,16GB,GDDR6,2023.05,https://www.topcpu.net/cpu/geforce-rtx-4060-ti-16-gb
18,NVIDIA GeForce RTX 4060 Ti 8 GB,88,8GB,GDDR6,2023.05,https://www.topcpu.net/cpu/geforce-rtx-4060-ti-8-gb
19,NVIDIA GeForce RTX 3070 Ti,85,8GB,GDDR6X,2021.05,https://www.topcpu.net/cpu/geforce-rtx-3070-ti
20,NVIDIA GeForce RTX 3070,81,8GB,GDDR6,2020.09,https://www.topcpu.net/cpu/geforce-rtx-3070
21,NVIDIA GeForce RTX 2080 Ti,81,11GB,GDDR6,2018.09,https://www.topcpu.net/cpu/geforce-rtx-2080-ti
22,AMD Radeon RX 6750 XT,78,12GB,GDDR6,2022.03,https://www.topcpu.net/cpu/radeon-rx-6750-xt
23,AMD Radeon RX 6700 XT,76,12GB,GDDR6,2021.03,https://www.topcpu.net/cpu/radeon-rx-6700-xt
24,NVIDIA GeForce RTX 3060 Ti GDDR6X,74,8GB,GDDR6X,2022.10,https://www.topcpu.net/cpu/geforce-rtx-3060-ti-gddr6x
25,NVIDIA GeForce RTX 3080 Mobile,70,8GB,GDDR6,2021.01,https://www.topcpu.net/cpu/geforce-rtx-3080-mobile
26,NVIDIA GeForce RTX 3060 Ti,68,8GB,GDDR6,2020.12,https://www.topcpu.net/cpu/geforce-rtx-3060-ti
27,NVIDIA GeForce RTX 2080 SUPER,67,8GB,GDDR6,2019.07,https://www.topcpu.net/cpu/geforce-rtx-2080-super
28,NVIDIA GeForce GTX 1080 Ti,66,11GB,GDDR5X,2017.03,https://www.topcpu.net/cpu/geforce-gtx-1080-ti
29,NVIDIA GeForce RTX 4060,65,8GB,GDDR6,2023.05,https://www.topcpu.net/cpu/geforce-rtx-4060
30,AMD Radeon VII,65,16GB,HBM2,2019.02,https://www.topcpu.net/cpu/radeon-vii
31,NVIDIA GeForce RTX 2080,63,8GB,GDDR6,2018.09,https://www.topcpu.net/cpu/geforce-rtx-2080
32,AMD Radeon RX 5700 XT,59,8GB,GDDR6,2019.07,https://www.topcpu.net/cpu/radeon-rx-5700-xt
33,AMD Radeon RX 6700,59,10GB,GDDR6,2021.06,https://www.topcpu.net/cpu/radeon-rx-6700
34,AMD Radeon RX 6600 XT,58,8GB,GDDR6,2021.07,https://www.topcpu.net/cpu/radeon-rx-6600-xt
35,NVIDIA GeForce RTX 3070 Mobile,57,8GB,GDDR6,2021.01,https://www.topcpu.net/cpu/geforce-rtx-3070-mobile
36,AMD Radeon RX Vega 64,57,8GB,HBM2,2017.08,https://www.topcpu.net/cpu/radeon-rx-vega-64
37,NVIDIA GeForce RTX 2070 SUPER,56,8GB,GDDR6,2019.07,https://www.topcpu.net/cpu/geforce-rtx-2070-super
38,NVIDIA GeForce RTX 3060,55,12GB,GDDR6,2021.01,https://www.topcpu.net/cpu/geforce-rtx-3060
39,AMD Radeon RX 6650 XT,55,8GB,GDDR6,2022.05,https://www.topcpu.net/cpu/radeon-rx-6650-xt
40,NVIDIA GeForce RTX 2070,54,8GB,GDDR6,2018.10,https://www.topcpu.net/cpu/geforce-rtx-2070
41,NVIDIA GeForce RTX 3060 8 GB,53,8GB,GDDR6,2022.10,https://www.topcpu.net/cpu/geforce-rtx-3060-8-gb
42,AMD Radeon RX Vega 56,52,8GB,HBM2,2017.08,https://www.topcpu.net/cpu/radeon-rx-vega-56
43,NVIDIA GeForce GTX 1080,52,8GB,GDDR5X,2016.05,https://www.topcpu.net/cpu/geforce-gtx-1080
