排名,名称,跑分,显存容量,显存类型,上市时间,详情页
1,NVIDIA GeForce RTX 4090,1274,24GB,GDDR6X,2022.09,https://www.topcpu.net/cpu/geforce-rtx-4090
2,NVIDIA GeForce RTX 4090 D,1258,24GB,GDDR6X,2023.12,https://www.topcpu.net/cpu/geforce-rtx-4090-d
3,NVIDIA RTX 6000 Ada Generation,1068,48GB,GDDR6,2022.12,https://www.topcpu.net/cpu/rtx-6000-ada-generation
4,NVIDIA GeForce RTX 4080 SUPER,964,16GB,GDDR6X,2024.01,https://www.topcpu.net/cpu/geforce-rtx-4080-super
5,NVIDIA GeForce RTX 4080 12 GB,938,12GB,GDDR6X,,https://www.topcpu.net/cpu/geforce-rtx-4080-12-gb
6,NVIDIA GeForce RTX 4070 Ti SUPER,856,16GB,GDDR6X,2024.01,https://www.topcpu.net/cpu/geforce-rtx-4070-ti-super
7,NVIDIA RTX 5000 Ada Generation,816,32GB,GDDR6,2023.08,https://www.topcpu.net/cpu/rtx-5000-ada-generation
8,NVIDIA GeForce RTX 4090 Mobile,714,16GB,GDDR6,2023.01,https://www.topcpu.net/cpu/geforce-rtx-4090-mobile
9,NVIDIA GeForce RTX 4070 Ti,710,12GB,GDDR6X,2023.01,https://www.topcpu.net/cpu/geforce-rtx-4070-ti
10,NVIDIA GeForce RTX 4070 SUPER,707,12GB,GDDR6X,2024.01,https://www.topcpu.net/cpu/geforce-rtx-4070-super
11,NVIDIA GeForce RTX 3090 Ti,649,24GB,GDDR6X,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3090-ti
12,NVIDIA GeForce RTX 3080 Ti 20 GB,641,20GB,GDDR6X,,https://www.topcpu.net/cpu/geforce-rtx-3080-ti-20-gb
13,NVIDIA GeForce RTX 4070,640,12GB,GDDR6X,2023.04,https://www.topcpu.net/cpu/geforce-rtx-4070
14,NVIDIA RTX A6000,600,48GB,GDDR6,2020.10,https://www.topcpu.net/cpu/rtx-a6000
15,NVIDIA RTX A5500,596,24GB,GDDR6,2022.03,https://www.topcpu.net/cpu/rtx-a5500
16,NVIDIA RTX A5000,573,24GB,GDDR6,2021.04,https://www.topcpu.net/cpu/rtx-a5000
17,NVIDIA GeForce RTX 4080 Mobile,572,12GB,GDDR6,2023.01,https://www.topcpu.net/cpu/nvidia-geforce-rtx-4080-mobile
18,NVIDIA GeForce RTX 3080 12 GB,556,12GB,GDDR6X,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3080-12-gb
19,NVIDIA A100 SXM4 80 GB,516,80GB,HBM2e,2020.11,https://www.topcpu.net/cpu/a100-sxm4-80-gb
20,NVIDIA A100 SXM4 40 GB,505,40GB,HBM2e,2020.05,https://www.topcpu.net/cpu/a100-sxm4-40-gb
21,NVIDIA RTX 4000 Ada Generation,492,20GB,GDDR6,2023.08,https://www.topcpu.net/cpu/rtx-4000-ada-generation
22,NVIDIA RTX A4500 Embedded,482,16GB,GDDR6,2022.03,https://www.topcpu.net/cpu/rtx-a4500-embedded
23,NVIDIA RTX 4000 SFF Ada Generation,443,16GB,HBM2,2018.11,https://www.topcpu.net/cpu/rtx-4000-sff-ada-generation
24,NVIDIA GeForce RTX 4060 Ti,413,8GB,GDDR6,2023.05,https://www.topcpu.net/cpu/geforce-rtx-4060-ti
25,Intel Arc Pro A40,411,6GB,GDDR6,2022.08,https://www.topcpu.net/cpu/arc-pro-a40
26,NVIDIA GeForce RTX 3080 Mobile,407,8GB,GDDR6,2021.01,https://www.topcpu.net/cpu/geforce-rtx-3080-mobile
27,NVIDIA GeForce RTX 3070 Ti 16 GB,397,16GB,GDDR6X,,https://www.topcpu.net/cpu/geforce-rtx-3070-ti-16-gb
28,NVIDIA RTX A5500 Mobile,389,16GB,GDDR6,2022.03,https://www.topcpu.net/cpu/rtx-a5500-mobile
29,NVIDIA GeForce RTX 4070 Mobile,370,8GB,GDDR6,2023.01,https://www.topcpu.net/cpu/geforce-rtx-4070-mobile
30,NVIDIA GeForce RTX 3060 Ti GA103,365,8GB,GDDR6,2022.02,https://www.topcpu.net/cpu/geforce-rtx-3060-ti-ga103
31,NVIDIA Tesla V100S PCIe 32 GB,365,32GB,HBM2,2019.11,https://www.topcpu.net/cpu/tesla-v100s-pcie-32-gb
32,NVIDIA TITAN RTX,363,24GB,GDDR6,2018.12,https://www.topcpu.net/cpu/titan-rtx
33,NVIDIA GeForce RTX 3070 Mobile,358,8GB,GDDR6,2021.01,https://www.topcpu.net/cpu/geforce-rtx-3070-mobile
34,NVIDIA Quadro RTX 6000 Mobile,355,24GB,GDDR6,2019.09,https://www.topcpu.net/cpu/quadro-rtx-6000-mobile
35,NVIDIA Tesla V100 SXM2 16 GB,354,16GB,HBM2,2019.11,https://www.topcpu.net/cpu/tesla-v100-sxm2-16-gb
36,NVIDIA GeForce RTX 3080 Ti Mobile,352,16GB,GDDR6,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3080-ti-mobile
37,NVIDIA RTX A4000,352,16GB,GDDR6,2021.04,https://www.topcpu.net/cpu/rtx-a4000
38,NVIDIA GeForce RTX 4060,351,8GB,GDDR6,2023.05,https://www.topcpu.net/cpu/geforce-rtx-4060
39,NVIDIA Tesla V100 PCIe 16 GB,344,16GB,HBM2,2017.06,https://www.topcpu.net/cpu/tesla-v100-pcie-16-gb
40,NVIDIA Tesla V100 SXM2 32 GB,341,32GB,HBM2,2018.03,https://www.topcpu.net/cpu/tesla-v100-sxm2-32-gb
41,NVIDIA GeForce RTX 4060 Mobile,340,8GB,GDDR6,2023.01,https://www.topcpu.net/cpu/geforce-rtx-4060-mobile
42,NVIDIA GeForce RTX 3070 Ti Mobile,339,8GB,GDDR6,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3070-ti-mobile
