排名,名称,跑分,规格,上市时间,详情页
1,Xiaomi AX9000,20240,IPQ8072A 4C @ 2.2 GHz 1GiB  - 2021.02,2021.02,https://www.topcpu.net/cpu/xiaomi-ax9000
2,ASUS RT-AX89X,20240,IPQ8074 4C @ 2.2 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-ax89x
3,Redmi AX6E (AX6000),18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/redmi-ax6e
4,ASUS TUF-AX6000,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/asus-tuf-ax6000
5,ASUS TUF-AX4200,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/asus-tuf-ax4200
6,ASUS RT-AX59U,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/asus-rt-ax59u
7,Netgear RAX120 (Nighthawk AX12),18400,IPQ8074 4C @ 2.0 GHz 1GiB  - 2018.11,2018.11,https://www.topcpu.net/cpu/netgear-rax120
8,ROG Rapture GT-AX11000 Pro,18400,BCM4912 4C @ 2.0 GHz 1GiB  - 2022.12,2022.12,https://www.topcpu.net/cpu/rog-rapture-gt-ax11000-pro
9,ASUS GT-AX6000 v2,18400,BCM4912 4C @ 2.0 GHz 1GiB  - 2021.11,2021.11,https://www.topcpu.net/cpu/asus-gt-ax6000-v2
10,ROG Rapture GT-AXE16000,18400,BCM4912 4C @ 2.0 GHz 2GiB  - 2022.05,2022.05,https://www.topcpu.net/cpu/rog-rapture-gt-axe16000
11,TP-LINK TL-XTR8488,18400,MT7986A 4C @ 2.0 GHz 1GiB,,https://www.topcpu.net/cpu/tplink-tl-xtr8488
12,TP-LINK TL-XDR6088,18400,MT7986AV 4C @ 2.0 GHz 512MiB  - 2022.06,2022.06,https://www.topcpu.net/cpu/tplink-tl-xdr6088
13,TP-LINK TL-XDR6086,18400,MT7986AV 4C @ 2.0 GHz 512MiB  - 2022.08,2022.08,https://www.topcpu.net/cpu/tplink-tl-xdr6086
14,TP-LINK TL-XDR4288 v1,18400,MT7986AV 4C @ 2.0 GHz 512MiB  - 2022.09,2022.09,https://www.topcpu.net/cpu/tplink-tl-xdr4288-v1
15,Ruijie RG-X60 PRO,18400,MT7986A 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/ruijie-rg-x60-pro
16,Acer Predator Connect W6,18400,MT7986A 4C @ 2.0 GHz 1GiB  - 2023.02,2023.02,https://www.topcpu.net/cpu/acer-predator-connect-w6
17,TP-LINK Archer AX80,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-archer-ax80
18,GL.iNet GL-MT6000(Flint 2),18400,MT7986AV 4C @ 2.0 GHz 1GiB  - 2023.12,2023.12,https://www.topcpu.net/cpu/gl.inet-gl-mt6000
19,Netgear RAX200 (Nighthawk Tri-Band AX12),16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2019.08,2019.08,https://www.topcpu.net/cpu/netgear-rax200
20,Netgear RAX80 (Nighthawk AX8),16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2018.11,2018.11,https://www.topcpu.net/cpu/netgear-rax80
21,Netgear RAX75 (Nighthawk AX8),16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2019.07,2019.07,https://www.topcpu.net/cpu/netgear-rax75
22,ROG Rapture GT-AX11000,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2018.11,2018.11,https://www.topcpu.net/cpu/rog-rapture-gt-ax11000
23,ASUS RT-AX95U,16560,BCM4908 4C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-ax95u
24,ASUS RT-AX88U,16560,BCM49408 4C @ 1.8 GHz 1GiB  - 2018.10,2018.10,https://www.topcpu.net/cpu/asus-rt-ax88u
25,ASUS RT-AX86U,16560,BCM4908 4C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-ax86u
26,ROG Rapture GT-AXE11000,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2021.01,2021.01,https://www.topcpu.net/cpu/rog-rapture-gt-axe11000
27,TP-LINK TL-XDR6060,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2020.03,2020.03,https://www.topcpu.net/cpu/tplink-tl-xdr6060
28,TP-LINK Archer AX6000,16560,BCM4908 4C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/tplink-archer-ax6000
29,TP-LINK Archer AX11000,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2019.01,2019.01,https://www.topcpu.net/cpu/tplink-archer-ax11000
30,TP-LINK TL-XDR6020,14720,MT7986B 4C @ 1.6 GHz 512MiB  - 2022.01,2022.01,https://www.topcpu.net/cpu/tplink-tl-xdr6020
31,TP-LINK TL-XDR6010,14720,MT7986B 4C @ 1.6 GHz 512MiB  - 2022.11,2022.11,https://www.topcpu.net/cpu/tplink-tl-xdr6010
32,TP-LINK TL-XDR6010 v2,14720,MT7986B 4C @ 1.6 GHz 512MiB  - 2023.12,2023.12,https://www.topcpu.net/cpu/tplink-tl-xdr6010-v2
33,ASUS RT-AXE7800,12920,BCM6756 4C @ 1.7 GHz 512MiB,,https://www.topcpu.net/cpu/asus-rt-axe7800
34,ASUS TUF-AX3000 v2,12920,BCM6756 4C @ 1.7 GHz 512MiB  - 2022.06,2022.06,https://www.topcpu.net/cpu/asus-tuf-ax3000-v2
35,Huawei AX6 Pro,12880,Hi5651T 4C @ 1.4 GHz 256MiB  - 2024.02,2024.02,https://www.topcpu.net/cpu/huawei-ax6-pro
36,Huawei AX3 Pro,12880,Hi5651T 4C @ 1.4 GHz 256MiB  - 2021.09,2021.09,https://www.topcpu.net/cpu/huawei-ax3-pro
37,Netgear RAX20 (Nighthawk AX4),11400,BCM6755 4C @ 1.5 GHz 512MiB  - 2019.11,2019.11,https://www.topcpu.net/cpu/netgear-rax20
38,ASUS RT-AX95Q,11400,BCM6755 4C @ 1.5 GHz 256MiB  - 2019.05,2019.05,https://www.topcpu.net/cpu/asus-rt-ax95q
39,ASUS RT-AX56U,11400,BCM6755 4C @ 1.5 GHz 512MiB  - 2019.09,2019.09,https://www.topcpu.net/cpu/asus-rt-ax56u
40,ASUS RT-AX55,11400,BCM6755 4C @ 1.5 GHz 256MiB  - 2020.05,2020.05,https://www.topcpu.net/cpu/asus-rt-ax55
41,ASUS RT-AX56U v2,11400,BCM6755 4C @ 1.5 GHz 256MiB  - 2020.09,2020.09,https://www.topcpu.net/cpu/asus-rt-ax56u-v2
42,ASUS ZenWiFi AX Mini (XD4),11400,BCM6755 4C @ 1.5 GHz 256MiB  - 2020.05,2020.05,https://www.topcpu.net/cpu/asus-zenwifi-ax-mini
43,TP-LINK Archer AX3200,11400,BCM6755 4C @ 1.5 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-archer-ax3200
44,TP-LINK Archer AX1800,11400,BCM6755 4C @ 1.5 GHz 256MiB  - 2019.12,2019.12,https://www.topcpu.net/cpu/tplink-archer-ax1800
45,Netgear RAX70 (Nighthawk AX8 Tri-band),11400,BCM6755 4C @ 1.5 GHz 512MiB  - 2019.11,2019.11,https://www.topcpu.net/cpu/netgear-rax70
46,Redmi AX5 (AX1800),11040,IPQ6000 4C @ 1.2 GHz 256MiB  - 2020.05,2020.05,https://www.topcpu.net/cpu/redmi-ax5
47,Xiaomi Mi Router Redmi AX5 (AX1800),11040,IPQ6000 4C @ 1.2 GHz 256MiB  - 2020.05,2020.05,https://www.topcpu.net/cpu/xiaomi-ax1800
48,GL.iNet GL-AX1800(Flint),11040,IPQ6000 4C @ 1.2 GHz 512MiB  - 2021.09,2021.09,https://www.topcpu.net/cpu/gl.inet-gl-ax1800
49,Xiaomi AX3600,9200,IPQ8071A 4C @ 1.0 GHz 512MiB  - 2020.03,2020.03,https://www.topcpu.net/cpu/xiaomi-ax3600
50,Redmi AX6,9200,IPQ8071A 4C @ 1.4 GHz 512MiB  - 2020.06,2020.06,https://www.topcpu.net/cpu/redmi-ax6
51,ASUS RT-AX58U,8550,BCM6750 3C @ 1.5 GHz 512MiB  - 2019.01,2019.01,https://www.topcpu.net/cpu/asus-rt-ax58u
52,ASUS TUF-AX3000,8550,BCM6750 3C @ 1.5 GHz 512MiB  - 2019.10,2019.10,https://www.topcpu.net/cpu/asus-tuf-ax3000
53,ASUS RT-AX82U,8550,BCM6750 3C @ 1.5 GHz,,https://www.topcpu.net/cpu/asus-rt-ax82u
54,TP-LINK TL-XDR5430,8550,BCM6750 3C @ 1.5 GHz 256MiB  - 2020.06,2020.06,https://www.topcpu.net/cpu/tplink-tl-xdr5430
55,TP-LINK Archer AX73,8550,BCM6750 3C @ 1.5 GHz 512MiB  - 2020.06,2020.06,https://www.topcpu.net/cpu/tplink-archer-ax73
56,ASUS RT-AX3000,8550,BCM6750 3C @ 1.5 GHz 512MiB,,https://www.topcpu.net/cpu/asus-rt-ax3000
57,ASUS RT-AX92U,8280,BCM4906 2C @ 1.8 GHz 512MiB  - 2018.06,2018.06,https://www.topcpu.net/cpu/asus-rt-ax92u
58,ASUS RT-AX68U,8280,BCM4906 2C @ 1.8 GHz 512MiB,,https://www.topcpu.net/cpu/asus-rt-ax68u
59,TP-LINK TL-XDR6030,8280,BCM4906 2C @ 1.8 GHz 512MiB  - 2020.06,2020.06,https://www.topcpu.net/cpu/tplink-tl-xdr6030
60,Ruijie Reyee RG-E5,6440,MT7622B 2C @ 1.4 GHz 256MiB,,https://www.topcpu.net/cpu/ruijie-reyee-rg-e5
61,Redmi AX6S (AX3200),6210,MT7622BV 2C @ 1.35 GHz 256MiB  - 2021.07,2021.07,https://www.topcpu.net/cpu/redmi-ax6s
62,TP-LINK TL-XDR3230,6210,MT7622BV 2C @ 1.35 GHz 256MiB  - 2020.08,2020.08,https://www.topcpu.net/cpu/tplink-tl-xdr3230
63,Ruijie Reyee RG-EW3200GX PRO,6210,MT7622BV 2C @ 1.35 GHz 256MiB  - 2022.08,2022.08,https://www.topcpu.net/cpu/ruijie-reyee-rg-ew3200gx-pro
64,TP-LINK TL-XDR3010 v9,6000,Triductor TR6560 2C @ 1.2 GHz 128MiB  - 2025.01,2025.01,https://www.topcpu.net/cpu/tplink-tl-xdr3010-v9
65,Xiaomi AX3000T,5980,MT7981BA 2C @ 1.3 GHz 256MiB  - 2023.08,2023.08,https://www.topcpu.net/cpu/xiaomi-ax3000t
66,TP-LINK TL-XDR3030,5980,MT7981BA 2C @ 1.3 GHz 256MiB  - 2022.07,2022.07,https://www.topcpu.net/cpu/tplink-tl-xdr3030
67,TP-LINK TL-XDR3020 v2,5980,MT7981BA 2C @ 1.3 GHz 256MiB  - 2022.03,2022.03,https://www.topcpu.net/cpu/tplink-tl-xdr3020-v2
68,TP-LINK Archer AX55 Pro,5980,MT7981BA 2C @ 1.3 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-archer-ax55-pro
69,H3C Magic NX30 Pro,5980,MT7981BA 2C @ 1.3 GHz 256MiB  - 2023.06,2023.06,https://www.topcpu.net/cpu/h3c-magic-nx30-pro
70,GL.iNet GL-MT3000(Beryl AX),5980,MT7981BA 2C @ 1.3 GHz 512MiB  - 2022.12,2022.12,https://www.topcpu.net/cpu/gl.inet-gl-mt3000
71,Huawei AX6,5520,Hi5651L 2C @ 1.2 GHz 256MiB  - 2022.05,2022.05,https://www.topcpu.net/cpu/huawei-ax6
72,Huawei AX3,5520,Hi5651L 2C @ 1.2 GHz 128MiB  - 2020.04,2020.04,https://www.topcpu.net/cpu/huawei-ax3
73,ZTE AX3000,5000,ZX279128R 2C @ 1 GHz 256MiB  - 2022.05,2022.05,https://www.topcpu.net/cpu/zte-ax3000
74,Xiaomi AX6000,4600,IPQ5018 2C @ 1.0 GHz 512MiB  - 2021.01,2021.01,https://www.topcpu.net/cpu/xiaomi-ax6000
75,Xiaomi AX3000,4600,IPQ5000 2C @ 1.0 GHz 256MiB  - 2021.05,2021.05,https://www.topcpu.net/cpu/xiaomi-ax3000
76,Redmi AX5400 Gaming Router,4600,IPQ5018 2C @ 1.0 GHz 512MiB  - 2022.02,2022.02,https://www.topcpu.net/cpu/redmi-ax5400-gaming
77,Xiaomi Redmi AX5400 Router (RA74),4600,IPQ5018 2C @ 1.0 GHz 512MiB  - 2022.03,2022.03,https://www.topcpu.net/cpu/redmi-ax5400
78,TP-LINK TL-XDR5430 v2,4600,IPQ5018 2C @ 1.0 GHz 256MiB  - 2021.01,2021.01,https://www.topcpu.net/cpu/tplink-tl-xdr5430-v2
79,Xiaomi AX3000E,4600,IPQ5018 2C @ 1.0 GHz 512MiB  - 2024.09,2024.09,https://www.topcpu.net/cpu/xiaomi-ax3000e
80,H3C BX54,4600,IPQ5018 2C @ 1.0 GHz 1GiB  - 2021.01,2021.01,https://www.topcpu.net/cpu/h3c-bx54
81,H3C Magic NX30,4600,IPQ5000 2C @ 1.0 GHz 256MiB  - 2021.08,2021.08,https://www.topcpu.net/cpu/h3c-magic-nx30
82,H3C NX54,4600,IPQ5018 2C @ 1.0 GHz 512MiB  - 2021.05,2021.05,https://www.topcpu.net/cpu/h3c-nx54
83,TP-LINK TL-XDR5480,4600,IPQ5018 2C @ 1.0 GHz 256MiB  - 2021.05,2021.05,https://www.topcpu.net/cpu/tplink-tl-xdr5480
84,TP-LINK Archer AX72 Pro,4600,IPQ5018 2C @ 1.0 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-archer-ax72-pro
85,Xiaomi CR6606,2816,MT7621AT 2C @ 880 MHz 256MiB,,https://www.topcpu.net/cpu/xiaomi-cr6606
86,Xiaomi Mi Router CR6608,2816,MT7621AT 2C @ 880 MHz 256MiB,,https://www.topcpu.net/cpu/xiaomi-cr6608
87,Xiaomi Mi Router CR6609,2816,MT7621AT 2C @ 880 MHz 256MiB,,https://www.topcpu.net/cpu/xiaomi-cr6609
88,ASUS RT-AX1800S,2816,MT7621AT 2C @ 880 MHz 256MiB  - 2021.11,2021.11,https://www.topcpu.net/cpu/asus-rt-ax1800s
