排名,名称,跑分,规格,上市时间,详情页
1,Qualcomm Snapdragon 8 Elite Gen 5,4004107,8C @ 4610MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-5
2,MediaTek Dimensity 9500,3340196,8C @ 4210MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-9500
3,MediaTek Dimensity 9500s,3298445,8C @ 3730MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-9500s
4,Apple M5 (iPad),3155649,10C @ 4600MHz  - 2025.10,2025.10,https://www.topcpu.net/cpu/apple-m5-ipad
5,Qualcomm Snapdragon 8 Elite,3070269,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite
6,Qualcomm Snapdragon 8 Gen 5,2969231,8C @ 3800MHz  - 2025.11,2025.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-5
7,MediaTek Dimensity 9400 Plus,2878376,8C @ 3730MHz  - 2025.04,2025.04,https://www.topcpu.net/cpu/mediatek-dimensity-9400-plus
8,Samsung Exynos 2600,2825908,10C @ 3800MHz  - 2025.12,2025.12,https://www.topcpu.net/cpu/samsung-exynos-2600
9,Qualcomm Snapdragon 8 Elite Gen 4,2745854,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-4
10,Apple M4 iPad,2713488,9C @ 4400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/apple-m4-ipad
11,MediaTek Dimensity 9400,2647012,8C @ 3630MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/mediatek-dimensity-9400
12,Samsung Exynos 2500,2519784,10C @ 3300MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/samsung-exynos-2500
13,Xiaomi Xring O1,2501370,10C @ 3900MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/xiaomi-xring-o1
14,MediaTek Dimensity 8500,2407614,8C @ 3400MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-8500
15,Apple M2 iPad,2188966,8C @ 3490MHz  - 2022.06,2022.06,https://www.topcpu.net/cpu/apple-m2-ipad
16,Qualcomm Snapdragon 8s Gen 4,2186467,8C @ 3200MHz  - 2025.04,2025.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-8s-gen-4
17,MediaTek Dimensity 9400e,2159260,8C @ 3400MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-9400e
18,Apple M3 iPad,2143122,8C @ 4050MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/apple-m3-ipad
19,Apple A19 Pro,2112459,6C @ 4260MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/apple-a19-pro
