排名,名称,跑分,规格,上市时间,详情页
1,Mediatek Dimensity 9300,5990,8C @ 3250MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/mediatek-dimensity-9300
2,MediaTek Dimensity 9300 Plus,5990,8C @ 3400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/mediatek-dimensity-9300-plus
3,Xiaomi Xring O1,5701,10C @ 3900MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/xiaomi-xring-o1
4,MediaTek Dimensity 9500,5271,8C @ 4210MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-9500
5,MediaTek Dimensity 9400,4952,8C @ 3630MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/mediatek-dimensity-9400
6,MediaTek Dimensity 9400 Plus,4952,8C @ 3730MHz  - 2025.04,2025.04,https://www.topcpu.net/cpu/mediatek-dimensity-9400-plus
7,MediaTek Dimensity 9500s,4952,8C @ 3730MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-9500s
8,Qualcomm Snapdragon 8 Gen 3,4730,8C @ 3300MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-3
9,MediaTek Dimensity 9200 Plus,4202,8C @ 3350MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-9200-plus
10,Apple M4 iPad,4090,9C @ 4400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/apple-m4-ipad
11,Samsung Exynos 2600,4014,10C @ 3800MHz  - 2025.12,2025.12,https://www.topcpu.net/cpu/samsung-exynos-2600
12,MediaTek Dimensity 9400e,3993,8C @ 3400MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-9400e
13,Qualcomm Snapdragon 8 Elite Gen 5,3686,8C @ 4610MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-5
14,MediaTek Dimensity 9200,3590,8C @ 3050MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/mediatek-dimensity-9200
15,Apple M3 iPad,3502,8C @ 4050MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/apple-m3-ipad
16,Qualcomm Snapdragon 8 Gen 2,3481,8C @ 3200MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-2
17,Samsung Exynos 2400e,3406,10C @ 3110MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/samsung-exynos-2400e
18,Qualcomm Snapdragon 8 Elite,3379,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite
19,Qualcomm Snapdragon 8 Elite Gen 4,3379,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-4
20,Samsung Exynos 2200,3110,8C @ 2800MHz  - 2022.01,2022.01,https://www.topcpu.net/cpu/samsung-exynos-2200
