排名,名称,跑分,规格,上市时间,详情页
1,Apple M5 (iPad),15577,10C @ 4600MHz  - 2025.10,2025.10,https://www.topcpu.net/cpu/apple-m5-ipad
2,Apple M4 iPad,14677,9C @ 4400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/apple-m4-ipad
3,Qualcomm Snapdragon 8 Elite Gen 5,11810,8C @ 4610MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-5
4,Apple M3 iPad,11776,8C @ 4050MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/apple-m3-ipad
5,Samsung Exynos 2600,11621,10C @ 3800MHz  - 2025.12,2025.12,https://www.topcpu.net/cpu/samsung-exynos-2600
6,Apple A19 Pro,11054,6C @ 4260MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/apple-a19-pro
7,MediaTek Dimensity 9500,10459,8C @ 4210MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-9500
8,Apple A19,10307,6C @ 4260MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/apple-a19
9,Qualcomm Snapdragon 8 Elite,10059,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite
10,Samsung Exynos 2500,9881,10C @ 3300MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/samsung-exynos-2500
11,Qualcomm Snapdragon 8 Gen 5,9860,8C @ 3800MHz  - 2025.11,2025.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-5
12,Apple M2 iPad,9803,8C @ 3490MHz  - 2022.06,2022.06,https://www.topcpu.net/cpu/apple-m2-ipad
13,Qualcomm Snapdragon 8 Elite Gen 4,9723,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-4
14,Xiaomi Xring O1,9701,10C @ 3900MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/xiaomi-xring-o1
15,Apple A18 Pro,9089,6C @ 4050MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/apple-a18-pro
16,MediaTek Dimensity 9400,8969,8C @ 3630MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/mediatek-dimensity-9400
17,Apple A18,8592,6C @ 4050MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/apple-a18
18,MediaTek Dimensity 9400 Plus,8430,8C @ 3730MHz  - 2025.04,2025.04,https://www.topcpu.net/cpu/mediatek-dimensity-9400-plus
19,Apple M1 iPad,8422,8C @ 3200MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/apple-m1-ipad
20,MediaTek Dimensity 9500s,8358,8C @ 3730MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-9500s
