排名,名称,跑分,规格,上市时间,详情页
1,Apple M5 (iPad),4175,10C @ 4600MHz  - 2025.10,2025.10,https://www.topcpu.net/cpu/apple-m5-ipad
2,Apple A19 Pro,4019,6C @ 4260MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/apple-a19-pro
3,Apple A19,3849,6C @ 4260MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/apple-a19
4,Apple M4 iPad,3767,9C @ 4400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/apple-m4-ipad
5,Qualcomm Snapdragon 8 Elite Gen 5,3718,8C @ 4610MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-5
6,Apple A18 Pro,3582,6C @ 4050MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/apple-a18-pro
7,MediaTek Dimensity 9500,3518,8C @ 4210MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-9500
8,Apple A18,3466,6C @ 4050MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/apple-a18
9,Samsung Exynos 2600,3455,10C @ 3800MHz  - 2025.12,2025.12,https://www.topcpu.net/cpu/samsung-exynos-2600
10,Qualcomm Snapdragon 8 Elite,3234,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite
11,Qualcomm Snapdragon 8 Elite Gen 4,3155,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite-gen-4
12,Xiaomi Xring O1,3086,10C @ 3900MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/xiaomi-xring-o1
13,Apple M3 iPad,3037,8C @ 4050MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/apple-m3-ipad
14,Apple A17 Pro,2953,6C @ 3780MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/apple-a17-pro
15,MediaTek Dimensity 9400,2874,8C @ 3630MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/mediatek-dimensity-9400
16,Qualcomm Snapdragon 8 Gen 5,2749,8C @ 3800MHz  - 2025.11,2025.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-5
17,MediaTek Dimensity 9400 Plus,2729,8C @ 3730MHz  - 2025.04,2025.04,https://www.topcpu.net/cpu/mediatek-dimensity-9400-plus
18,MediaTek Dimensity 9500s,2680,8C @ 3730MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-9500s
19,Samsung Exynos 2500,2648,10C @ 3300MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/samsung-exynos-2500
20,Apple A16 Bionic,2627,6C @ 3460MHz  - 2022.09,2022.09,https://www.topcpu.net/cpu/apple-a16-bionic
21,Apple M2 iPad,2623,8C @ 3490MHz  - 2022.06,2022.06,https://www.topcpu.net/cpu/apple-m2-ipad
22,Apple A15 Bionic,2333,6C @ 3230MHz  - 2021.09,2021.09,https://www.topcpu.net/cpu/apple-a15-bionic
23,Apple M1 iPad,2304,8C @ 3200MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/apple-m1-ipad
24,MediaTek Dimensity 9300 Plus,2302,8C @ 3400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/mediatek-dimensity-9300-plus
25,Google Tensor G5,2267,8C @ 3400MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/google-tensor-g5
26,MediaTek Dimensity 9400e,2233,8C @ 3400MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-9400e
27,Mediatek Dimensity 9300,2225,8C @ 3250MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/mediatek-dimensity-9300
28,Samsung Exynos 2400,2195,10C @ 3210MHz  - 2024.01,2024.01,https://www.topcpu.net/cpu/samsung-exynos-2400
29,Qualcomm Snapdragon 8 Gen 3,2181,8C @ 3300MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-3
30,Qualcomm Snapdragon 8s Gen 4,2159,8C @ 3200MHz  - 2025.04,2025.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-8s-gen-4
