排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
1,AMD Ryzen Threadripper PRO 9995WX,129989,96,192,2.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9995wx
2,AMD Ryzen Threadripper PRO 7995WX,100295,96,192,2.5GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-7995wx
3,AMD Ryzen Threadripper 7980X,98341,64,128,3.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7980x
4,AMD Ryzen Threadripper 3990X,75671,64,128,2.9GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3990x
5,AMD Ryzen Threadripper Pro 3995WX,73220,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3995wx
6,Intel Xeon w9-3495X,72233,56,112,1.9GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w9-3495x
7,AMD EPYC 7763,61455,64,128,2.45GHz,2021.03,https://www.topcpu.net/cpu/amd-epyc-7763
8,AMD EPYC 7742,54063,64,128,2.25GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7742
9,AMD Ryzen Threadripper PRO 5975WX,53977,32,64,3.6GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5975wx
10,AMD EPYC 7702,49035,64,128,2GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7702
11,AMD EPYC 7702P,48997,64,128,2GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7702p
12,AMD Ryzen Threadripper 3970X,46874,32,64,3.7GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3970x
13,Apple M4 Ultra,44822,32,32,4.52GHz,2025.05,https://www.topcpu.net/cpu/apple-m4-ultra
14,AMD Ryzen Threadripper Pro 3975WX,43450,32,64,3.5GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3975wx
15,Intel Core Ultra 7 270K Plus,43070,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
16,AMD Ryzen 9 9950X3D,42369,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
17,AMD Ryzen 9 9950X,42074,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
18,Intel Core Ultra 9 285K,41583,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
19,Intel Core i9 14900KS,40976,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
20,Intel Core i9 13900KS,40837,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
21,AMD Ryzen Threadripper PRO 5965WX,40535,24,48,3.8GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5965wx
